round,loss,recon_loss,kl_loss,num_available,mean_staleness,num_echoes_used,mean_echo_weight
1,463.2633948730469,462.9534127929688,0.30998228483200074,5,0.75,0,0.0
10,180.02276987304688,172.05595795898438,7.96681110534668,2,3.0,14,0.3061484828994389
20,156.52031733398437,143.01536181640626,13.504955389404296,5,2.7,13,0.3088906296822217
30,142.990337109375,125.7481237915039,17.242212966918945,8,2.15,11,0.2479672376403201
40,134.5544436767578,115.66244318847656,18.8920006439209,3,3.55,12,0.1611371862261415
50,130.9980815551758,110.89433129882812,20.10374917907715,6,2.55,11,0.1334192104054975
60,128.04964537353516,107.61688564453125,20.432760070800782,4,2.65,12,0.11493791326569656
70,125.22964586181641,103.85002963867187,21.37961554260254,3,2.95,7,0.11803176798491696
80,123.27168623046875,101.30839986572266,21.963286462402344,4,3.0,11,0.10503473558565085
90,120.66607395019531,98.18912584228515,22.47694757080078,8,2.5,5,0.06502086658968001
100,118.96149881591796,96.14199962158203,22.819499829101563,6,1.95,13,0.08618148423604016
